Date,Open,High,Low,Close,Adj Close,Volume
2023-01-03,34.020000,34.340000,33.400002,33.820000,33.362595,11793300
2023-01-04,34.290001,34.950001,34.090000,34.689999,34.220821,11326300
2023-01-05,34.200001,35.439999,34.119999,35.000000,34.526638,11932000
2023-01-06,34.689999,36.009998,34.549999,35.910000,35.424324,9783500
2023-01-09,36.529999,36.840000,35.849998,35.919998,35.434193,11617900
2023-01-10,36.139999,37.139999,35.900002,37.110001,36.608101,10280400
2023-01-11,37.349998,38.110001,37.150002,37.820000,37.308498,15190300
2023-01-12,38.139999,38.610001,37.830002,38.330002,37.811604,15318500
2023-01-13,36.480000,36.730000,35.810001,36.509998,36.016212,21242800
2023-01-17,36.500000,37.139999,36.209999,36.610001,36.114861,13916100
2023-01-18,37.060001,37.529999,36.419998,36.439999,35.947159,11322700
2023-01-19,35.650002,36.020000,35.130001,35.730000,35.246758,11403600
2023-01-20,35.680000,36.009998,35.279999,35.349998,34.871906,17187200
2023-01-23,35.689999,36.599998,35.529999,36.439999,35.947159,17001900
2023-01-24,36.000000,36.660000,35.820000,36.200001,35.710411,12072100
2023-01-25,35.990002,36.549999,35.380001,36.320000,35.828785,13715600
2023-01-26,36.990002,37.180000,36.230000,36.480000,35.986618,19559000
2023-01-27,36.580002,38.240002,36.439999,37.950001,37.436737,21995400
2023-01-30,36.750000,37.279999,36.220001,36.290001,35.799194,23596800
2023-01-31,38.930000,39.730000,38.330002,39.320000,38.788212,47396300
2023-02-01,39.450001,39.840000,38.560001,39.299999,38.768475,25569500
2023-02-02,40.279999,42.049999,39.919998,41.500000,40.938725,28757000
2023-02-03,40.650002,41.990002,40.310001,41.130001,40.573730,18566700
2023-02-06,40.900002,41.610001,40.770000,41.340000,40.780891,14285700
2023-02-07,41.259998,41.779999,40.740002,41.400002,40.840080,11542500
2023-02-08,41.080002,42.099998,40.980000,41.570000,41.007778,12318500
2023-02-09,42.090000,42.990002,41.490002,41.630001,41.066967,20848900
2023-02-10,41.240002,41.630001,40.959999,41.349998,40.790749,11447400
2023-02-13,40.730000,42.080002,40.720001,42.020000,41.451691,12854800
2023-02-14,41.700001,42.730000,41.689999,42.430000,41.856148,13012400
2023-02-15,42.139999,42.980000,42.049999,42.950001,42.369114,11660100
2023-02-16,42.389999,43.630001,42.230000,43.099998,42.517082,14549600
2023-02-17,43.000000,43.169998,42.189999,43.169998,42.586136,13034100
2023-02-21,42.430000,43.080002,41.090000,41.130001,40.573730,12320100
2023-02-22,41.230000,41.470001,40.630001,40.889999,40.336971,9870000
2023-02-23,41.049999,41.259998,38.869999,39.250000,38.719158,19930700
2023-02-24,38.910000,39.320000,38.459999,39.180000,38.650105,12929600
2023-02-27,39.529999,40.009998,39.139999,39.310001,38.778343,17310600
2023-02-28,39.209999,39.240002,38.490002,38.740002,38.216053,17166700
2023-03-01,38.680000,39.330002,38.639999,38.720001,38.196327,14164800
2023-03-02,38.410000,39.560001,38.119999,39.529999,39.086224,12908600
2023-03-03,40.389999,41.349998,40.250000,41.009998,40.549606,13429700
2023-03-06,41.020000,41.189999,40.250000,40.450001,39.995892,9810000
2023-03-07,40.220001,40.430000,39.619999,39.740002,39.293865,12126900
2023-03-08,39.700001,40.020000,39.369999,39.759998,39.313641,10674800
2023-03-09,39.520000,39.700001,37.759998,37.820000,37.395420,15604100
2023-03-10,37.700001,37.779999,36.259998,36.520000,36.110012,14139400
2023-03-13,35.619999,36.310001,34.860001,35.759998,35.358543,21584200
2023-03-14,36.459999,36.669998,35.080002,35.599998,35.200340,18938200
2023-03-15,34.610001,34.619999,33.630001,34.330002,33.944595,17992100
2023-03-16,33.849998,34.919998,33.759998,34.610001,34.221458,23883900
2023-03-17,34.279999,34.279999,33.119999,33.380001,33.005268,27743500
2023-03-20,33.450001,34.250000,33.270000,33.619999,33.242569,14938800
2023-03-21,34.630001,35.320000,34.459999,35.099998,34.705952,13685100
2023-03-22,35.130001,35.320000,34.029999,34.049999,33.667744,12929700
2023-03-23,34.369999,34.759998,33.169998,33.740002,33.361225,12585400
2023-03-24,33.459999,33.779999,32.990002,33.709999,33.331558,11912100
2023-03-27,34.320000,34.540001,33.750000,34.450001,34.063251,11318400
2023-03-28,34.459999,34.650002,34.049999,34.220001,33.835835,12214200
2023-03-29,34.889999,35.730000,34.709999,35.700001,35.299221,13290000
2023-03-30,36.250000,36.480000,35.869999,35.990002,35.585964,9300200
2023-03-31,36.270000,36.720001,36.130001,36.680000,36.268215,10872700
2023-04-03,36.380001,36.820000,35.990002,36.270000,35.862816,10887900
2023-04-04,36.509998,36.540001,35.290001,35.740002,35.338772,11279900
2023-04-05,35.270000,35.380001,34.400002,35.090000,34.696072,10949400
2023-04-06,35.000000,35.090000,34.470001,34.590000,34.201683,10068100
2023-04-10,34.349998,35.740002,34.259998,35.730000,35.328880,11530400
2023-04-11,35.880001,35.970001,35.340000,35.410000,35.012474,16410500
2023-04-12,35.990002,36.060001,34.529999,34.619999,34.231342,12027400
2023-04-13,34.560001,34.689999,33.720001,34.529999,34.142353,16066200
2023-04-14,34.750000,35.290001,34.250000,34.490002,34.102806,9162900
2023-04-17,34.380001,35.150002,34.330002,35.139999,34.745506,10248900
2023-04-18,35.450001,35.570000,35.070000,35.330002,34.933372,9444600
2023-04-19,34.869999,34.880001,34.220001,34.580002,34.191792,11002300
2023-04-20,33.279999,33.730000,32.840000,33.540001,33.163464,15294800
2023-04-21,33.529999,33.770000,32.970001,33.549999,33.173355,12358700
2023-04-24,33.770000,34.400002,33.560001,34.290001,33.905048,16836800
2023-04-25,33.990002,34.080002,32.680000,32.910000,32.540543,34044400
2023-04-26,32.900002,33.119999,32.080002,32.220001,31.858286,18780900
2023-04-27,32.360001,32.820000,31.840000,32.720001,32.352673,19730100
2023-04-28,32.419998,33.299999,32.410000,33.040001,32.669079,15510700
2023-05-01,34.000000,34.279999,33.439999,33.480000,33.104145,16892300
2023-05-02,33.200001,33.410000,32.509998,33.080002,32.708633,14527600
2023-05-03,32.759998,33.389999,32.369999,32.480000,32.115368,13494400
2023-05-04,32.299999,32.669998,31.559999,31.690001,31.334234,14807400
2023-05-05,32.320000,33.400002,32.209999,33.259998,32.886604,17183400
2023-05-08,33.389999,33.740002,33.130001,33.660000,33.282120,11267400
2023-05-09,33.320000,33.570000,33.060001,33.279999,32.906387,11841900
2023-05-10,33.869999,33.970001,32.599998,33.080002,32.708633,15418400
2023-05-11,32.849998,33.279999,32.849998,33.119999,32.748184,12319500
2023-05-12,33.250000,33.279999,32.130001,32.400002,32.036263,13026000
