Date,Open,High,Low,Close,Adj Close,Volume
2016-12-01,137.179993,151.850006,135.000000,142.899994,105.657097,29100
2017-01-01,148.500000,169.250000,145.630005,157.899994,116.747749,28900
2017-02-01,161.910004,162.259995,150.289993,151.119995,111.734787,7500
2017-03-01,153.259995,156.399994,146.570007,150.770004,111.476013,11800
2017-04-01,149.949997,163.339996,143.000000,159.699997,118.078659,14600
2017-05-01,162.729996,165.000000,154.580002,154.580002,114.293037,8600
2017-06-01,157.500000,161.000000,149.770004,154.660004,115.923775,10400
2017-07-01,154.660004,171.899994,154.660004,155.000000,116.178619,12500
2017-08-01,155.960007,160.429993,148.580002,155.649994,116.665794,7400
2017-09-01,155.000000,173.949997,153.850006,171.300003,128.396103,12500
2017-10-01,169.820007,186.000000,166.160004,182.179993,136.551086,13300
2017-11-01,190.660004,210.000000,181.350006,210.000000,157.403275,13700
2017-12-01,205.100006,207.250000,193.300003,201.509995,151.039688,9300
2018-01-01,203.199997,232.449997,200.149994,220.350006,165.161011,24000
2018-02-01,219.500000,221.000000,198.399994,200.000000,149.907883,55000
2018-03-01,198.550003,205.000000,184.509995,200.000000,149.907883,42000
2018-04-01,197.399994,216.600006,193.250000,204.500000,153.280823,12100
2018-05-01,204.500000,208.360001,185.000000,187.149994,140.276306,7700
2018-06-01,186.649994,192.350006,162.250000,163.000000,125.048363,26400
2018-07-01,159.440002,175.949997,159.289993,175.949997,134.983185,12100
2018-08-01,164.240005,169.699997,151.240005,160.639999,123.237839,60000
2018-09-01,156.899994,181.000000,150.559998,172.139999,132.060272,49700
2018-10-01,170.929993,177.000000,147.949997,163.029999,125.071373,48600
2018-11-01,163.960007,176.910004,156.750000,165.949997,127.311508,50700
2018-12-01,170.000000,171.970001,152.750000,157.000000,120.445366,41600
2019-01-01,153.520004,176.000000,150.149994,172.089996,132.021912,31600
2019-02-01,174.250000,178.000000,160.070007,176.500000,135.405106,31300
2019-03-01,174.690002,180.000000,156.899994,163.460007,125.401253,23200
2019-04-01,163.440002,188.000000,162.119995,178.250000,136.747665,43500
2019-05-01,181.080002,188.000000,156.050003,160.000000,122.746864,20900
2019-06-01,161.000000,172.000000,157.050003,170.149994,130.533615,21200
2019-07-01,175.000000,180.970001,167.750000,167.750000,128.692398,22800
2019-08-01,168.740005,171.000000,155.660004,165.050003,126.621063,22700
2019-09-01,164.000000,179.149994,159.190002,171.550003,131.607651,29200
2019-10-01,169.279999,193.660004,159.500000,187.500000,143.843979,34600
2019-11-01,188.949997,203.119995,188.539993,191.000000,146.529068,17600
2019-12-01,192.000000,204.000000,188.500000,192.559998,147.725845,51600
2020-01-01,193.699997,204.990005,180.740005,182.500000,140.008133,24900
2020-02-01,181.500000,191.960007,155.509995,169.000000,129.651367,39000
2020-03-01,168.350006,177.000000,104.699997,127.250000,97.622116,71900
2020-04-01,122.879997,161.000000,120.750000,147.050003,112.812019,57900
2020-05-01,147.000000,169.000000,131.699997,155.050003,118.949387,26500
2020-06-01,161.600006,182.000000,154.830002,159.110001,122.064072,26800
2020-07-01,163.300003,177.720001,155.949997,156.199997,119.831619,24400
2020-08-01,161.820007,183.199997,161.610001,179.000000,137.323059,17200
2020-09-01,178.500000,193.050003,165.000000,176.000000,135.021545,31100
2020-10-01,172.250000,178.250000,154.500000,156.300003,119.908333,25500
2020-11-01,159.880005,199.750000,158.009995,186.000000,147.405151,39100
2020-12-01,196.399994,217.500000,184.750000,209.500000,166.028946,37400
2021-01-01,209.000000,221.000000,199.009995,212.250000,168.208298,43600
2021-02-01,204.039993,249.399994,204.039993,235.500000,186.633942,34300
2021-03-01,228.250000,480.000000,228.250000,364.549988,288.906189,416900
2021-04-01,381.500000,383.000000,316.000000,317.480011,251.603180,94400
2021-05-01,319.399994,368.589996,297.500000,363.000000,287.677795,38500
2021-06-01,369.700012,386.670013,317.500000,328.500000,260.336517,34800
2021-07-01,325.649994,346.399994,310.279999,334.440002,265.044006,35100
2021-08-01,326.500000,369.950012,319.869995,334.500000,269.695953,39800
2021-09-01,339.000000,350.929993,303.000000,313.000000,252.361206,42400
2021-10-01,310.019989,346.500000,290.649994,326.500000,263.245789,41500
2021-11-01,328.500000,346.250000,276.739990,278.500000,224.545044,45200
2021-12-01,292.700012,325.149994,279.160004,290.920013,234.558884,43100
2022-01-01,291.100006,320.000000,271.000000,282.000000,227.366974,29000
2022-02-01,288.480011,300.899994,251.289993,258.799988,208.661591,19600
2022-03-01,250.080002,270.500000,198.000000,249.000000,200.760193,57500
2022-04-01,248.800003,259.910004,214.809998,218.919998,176.507721,28800
2022-05-01,210.000000,225.000000,188.750000,223.199997,179.958542,22900
2022-06-01,226.000000,236.500000,177.259995,182.080002,152.631836,22200
2022-07-01,184.500000,199.000000,165.899994,197.770004,165.784256,49200
2022-08-01,195.250000,209.500000,179.639999,186.869995,156.647125,24200
2022-09-01,186.000000,209.899994,160.509995,165.220001,138.498627,43700
2022-10-01,159.300003,177.089996,152.289993,170.550003,142.966614,33200
2022-11-01,169.850006,202.250000,161.990005,193.250000,161.995285,17500
2022-12-01,191.000000,196.750000,150.000000,157.589996,132.102646,33500
2023-01-01,163.000000,179.809998,162.720001,175.100006,165.207870,26400
2023-02-01,177.500000,185.000000,171.000000,178.500000,168.415771,22700
2023-03-01,179.500000,196.250000,157.000000,171.179993,161.509308,29900
2023-04-01,171.500000,175.130005,158.399994,168.000000,158.508972,20300
2023-05-01,162.449997,174.000000,148.000000,150.399994,141.903259,21600
2023-06-01,151.940002,175.000000,151.940002,168.630005,168.630005,16100
2023-07-01,163.500000,174.750000,156.339996,160.389999,160.389999,28600
2023-08-01,155.750000,160.449997,137.250000,144.479996,144.479996,29200
2023-09-01,135.000000,142.250000,125.820000,132.179993,132.179993,21900
2023-10-01,129.500000,133.220001,110.320000,111.000000,111.000000,26900
2023-11-01,112.779999,136.250000,112.500000,130.910004,130.910004,35500
2023-12-01,124.500000,137.660004,124.500000,128.610001,128.610001,33200
