Date,Open,High,Low,Close,Adj Close,Volume
2023-01-01,34.020000,39.730000,33.400002,39.320000,38.788208,327651700
2023-02-01,39.450001,43.630001,38.459999,38.740002,38.216057,297974900
2023-03-01,38.680000,41.349998,32.990002,36.680000,36.183910,336046800
2023-04-01,36.380001,36.820000,31.840000,33.040001,32.669083,271634900
2023-05-01,34.000000,34.279999,31.500000,32.410000,32.046154,303495400
2023-06-01,32.490002,38.860001,32.139999,38.560001,38.127113,291773500
2023-07-01,38.740002,41.040001,37.110001,38.369999,38.044891,279486600
2023-08-01,38.040001,38.360001,32.049999,33.509998,33.226070,279967000
2023-09-01,33.590000,34.599998,31.969999,32.970001,32.778999,233754600
2023-10-01,32.840000,33.060001,26.790001,28.200001,28.036634,391199400
2023-11-01,28.730000,32.290001,26.299999,31.600000,31.416937,454894300
2023-12-01,31.520000,36.619999,31.520000,35.919998,35.813911,419240100
