Date,Open,High,Low,Close,Adj Close,Volume
2013-01-02,62.599998,64.959999,62.599998,63.610001,45.121307,754671
2013-01-03,63.500000,63.990002,62.349998,63.189999,44.823380,475860
2013-01-04,63.400002,63.470001,62.049999,62.889999,44.610569,399966
2013-01-07,62.349998,62.750000,60.080002,61.389999,43.546562,624124
2013-01-08,61.110001,61.650002,60.450001,60.860001,43.170612,499111
2013-01-09,61.200001,61.500000,60.009998,61.000000,43.269920,408191
2013-01-10,61.049999,62.470001,61.009998,62.189999,44.114040,543410
2013-01-11,62.500000,64.870003,61.900002,64.870003,46.015076,859702
2013-01-14,64.879997,65.599998,64.529999,64.839996,45.993790,608427
2013-01-15,64.669998,65.000000,63.610001,64.419998,45.695869,380553
2013-01-16,63.889999,64.269997,63.189999,63.869999,45.305733,328793
2013-01-17,63.349998,64.089996,62.599998,64.000000,45.397949,531774
2013-01-18,64.150002,64.260002,63.330002,63.330002,44.922688,318056
2013-01-21,63.230000,64.449997,62.349998,64.400002,45.681690,472139
2013-01-22,64.099998,64.769997,63.250000,63.970001,45.376667,294520
2013-01-23,64.010002,65.019997,63.820000,64.660004,45.866116,451562
2013-01-24,64.250000,65.529999,63.950001,65.129997,46.199497,356632
2013-01-25,64.800003,65.669998,64.680000,65.669998,46.582546,362296
2013-01-28,65.500000,66.769997,65.199997,66.599998,47.242237,399532
2013-01-29,66.610001,67.099998,65.910004,66.589996,47.235142,413353
2013-01-30,66.599998,66.800003,64.440002,64.800003,45.965424,523304
2013-01-31,64.519997,64.830002,63.209999,64.099998,45.468884,574837
2013-02-01,66.019997,66.500000,65.230003,66.000000,46.816635,741363
2013-02-04,66.209999,66.250000,63.360001,63.500000,45.043274,668630
2013-02-05,62.950001,63.759998,62.619999,63.610001,45.121307,497583
2013-02-06,63.650002,64.400002,62.900002,63.450001,45.007809,419348
2013-02-07,63.450001,65.150002,63.360001,64.400002,45.681690,527438
2013-02-08,64.470001,65.949997,64.470001,65.830002,46.696041,354604
2013-02-11,65.589996,65.720001,64.550003,64.959999,46.078915,247117
2013-02-12,64.739998,65.430000,64.279999,65.180000,46.234970,364196
2013-02-13,65.250000,65.989998,65.029999,65.540001,46.490337,324535
2013-02-14,65.199997,65.949997,64.680000,64.870003,46.015076,299957
2013-02-15,64.889999,65.050003,64.089996,64.300003,45.610752,281987
2013-02-18,64.019997,64.410004,63.750000,64.199997,45.539814,207471
2013-02-19,64.099998,65.849998,63.880001,65.139999,46.206596,429662
2013-02-20,65.019997,65.849998,64.760002,65.190002,46.242073,251185
