Date,Open,High,Low,Close,Adj Close,Volume
2023-01-02,51.540001,53.020000,51.500000,52.660000,50.216026,621933
2023-01-03,52.599998,53.680000,52.560001,53.000000,50.540245,522563
2023-01-04,53.299999,54.279999,53.180000,53.860001,51.360332,591639
2023-01-05,53.680000,54.900002,53.480000,54.520000,51.989704,551544
2023-01-06,54.459999,55.220001,53.480000,54.900002,52.352070,516510
2023-01-09,55.439999,55.939999,54.779999,55.939999,53.343800,715804
2023-01-10,55.799999,57.139999,55.700001,56.799999,54.163887,837682
2023-01-11,56.880001,57.220001,56.540001,56.720001,54.087601,770697
2023-01-12,56.220001,56.939999,56.080002,56.259998,53.648949,1091503
2023-01-13,56.419998,56.419998,54.380001,55.060001,52.504642,1463442
2023-01-16,55.240002,55.599998,54.880001,55.279999,52.714428,365898
2023-01-17,55.439999,55.980000,54.860001,55.639999,53.057724,654265
2023-01-18,55.500000,55.560001,54.919998,55.439999,52.867004,479352
2023-01-19,55.340000,55.439999,54.080002,54.259998,51.741768,707319
2023-01-20,54.700001,54.840000,54.000000,54.840000,52.294853,473480
2023-01-23,55.220001,55.560001,54.520000,54.860001,52.313923,390634
2023-01-24,55.020000,55.279999,54.099998,54.660000,52.123203,674767
2023-01-25,54.720001,55.060001,53.520000,53.860001,51.360332,846090
2023-01-26,54.299999,54.520000,54.060001,54.160000,51.646412,694716
2023-01-27,54.160000,54.160000,54.160000,54.160000,51.646412,0
2023-01-30,54.599998,54.959999,54.180000,54.680000,52.142277,611552
2023-01-31,54.700001,54.880001,53.900002,54.759998,52.218563,848288
2023-02-01,55.099998,55.500000,54.400002,55.500000,52.924221,862085
2023-02-02,56.000000,57.900002,55.520000,57.660000,54.983974,1071681
2023-02-03,57.220001,58.500000,56.540001,57.480000,54.812328,1052167
2023-02-06,57.660000,57.860001,56.220001,56.680000,54.049458,685689
2023-02-07,56.779999,56.919998,55.959999,56.779999,54.144814,620213
2023-02-08,56.919998,56.919998,55.439999,55.939999,53.343800,776728
